Tên môn học,Số tín chỉ
"Công nghệ dữ liệu",2
"Hệ thống thông tin địa lý",2
"Tiếng Anh P5",2
"An toàn, bảo mật thông tin",2
"Thực tập CNTT6: Cài đặt, cấu hình máy chủ, mạng, triển khai ứng dụng",4
"Công nghệ phần mềm",3
"Dữ liệu lớn",2
"Lập trình mobile",3
"Thực tập CNTT5: Triển khai ứng dụng AI, IoT",4
"Tiếng Anh P4",3
"Học máy",2
"Phân tích, thiết kế hệ thống thông tin",3
"Tiếng Anh P3",4
"Kỹ năng mềm nâng cao",3
"Lý thuyết, thiết kế cơ sở dữ liệu",3
"Trí tuệ nhân tạo",2
"Lập trình IoT",2
"Thực tập CNTT4: Thiết kế, lập trình Back-End",4
"Tiếng Anh P2",4
"Cấu trúc dữ liệu và giải thuật",3
"Mạng máy tính",2
"Toán rời rạc",3
"Lập trình hướng đối tượng",3
"Thực tập CNTT3: Thiết kế, lập trình Front-End",4
"Xác suất thống kê và phân tích dữ liệu",4
"Tiếng Anh P1",4
"Thực tập CNTT2: Thiết kế web và triển khai hệ thống phần mềm",4
"Toán giải tích",3
"Kỹ năng mềm cơ bản",2
"Lập trình cơ bản",3
"Nhập môn công nghệ thông tin",3
"Thực tập CNTT2: Thiết kế web và triển khai hệ thống phần mềm",4
"Thực tập CNTT1: Hệ thống máy tính",4
"Đại số tuyến tính, tối ưu",2
"Kỹ thuật đồ họa",2
"Hệ điều hành mã nguồn mở",2
"Đa phương tiện, công nghệ giáo dục",2
"Hệ quản trị dữ liệu phân tán",2
"Khởi nghiệp sáng tạo công nghệ",2
"Dữ liệu lớn, khai phá dữ liệu",2
"Nền tảng công nghệ",2
"Mạng xã hội, thương mại điện tử",2
"Công nghệ BlockChain",2
"Thành phố thông minh, nông nghiệp thông minh",2
"Công nghệ xử lý ảnh",2
"Đồ án tốt nghiệp (hoặc 3 học phần thay thế)",6
"Thực tập tốt nghiệp",4
"Công nghệ điện toán đám mây",2
"Chuyển đổi số",2
"Lập trình mạng",3
"Ứng dụng Công nghệ thông tin trong doanh nghiệp",3
"Kiểm thử phần mềm",2
"Thực tập CNTT7: Thực tập doanh nghiệp",4
"Quản trị dự án công nghệ thông tin",2
